,model,original_score_v2_0,original_score_v2_1,attacked_score_v2_0_PGD,attacked_score_v2_1_PGD,attacked_score_v2_0_FGSM,attacked_score_v2_1_FGSM,decrease_rate_v2_0_PGD,decrease_rate_v2_1_PGD,decrease_rate_v2_0_FGSM,decrease_rate_v2_1_FGSM
138,scores\dreamlike_photoreal,0.2698,0.2803,0.251,0.2563,0.2566,0.266,0.06968124536693841,0.08562254727078139,0.04892512972572272,0.05101676774884045
139,scores\dreamlike_photoreal,0.261,0.2515,0.2426,0.214,0.2502,0.2302,0.07049808429118773,0.14910536779324057,0.041379310344827704,0.08469184890656069
140,scores\dreamlike_photoreal,0.2627,0.233,0.2357,0.189,0.2491,0.2192,0.10277883517320135,0.18884120171673824,0.05177007993909403,0.059227467811158827
141,scores\dreamlike_photoreal,0.2646,0.2642,0.2454,0.2256,0.2588,0.253,0.07256235827664397,0.1461014383043149,0.02191987906273631,0.04239212717638149
142,scores\dreamlike_photoreal,0.2651,0.265,0.245,0.2333,0.2534,0.2534,0.07582044511505096,0.11962264150943398,0.04413428894756691,0.04377358490566037
143,scores\dreamlike_photoreal,0.27,0.2656,0.2517,0.2358,0.2607,0.262,0.06777777777777791,0.11219879518072287,0.034444444444444555,0.01355421686746985
144,scores\dreamlike_photoreal,0.3074,0.3174,0.281,0.2778,0.2954,0.3206,0.08588158750813266,0.12476370510396982,0.03903708523096946,-0.01008191556395709
145,scores\dreamlike_photoreal,0.2993,0.309,0.2805,0.2778,0.2908,0.3123,0.06281323087203469,0.10097087378640779,0.02839959906448382,-0.010679611650485518
146,scores\dreamlike_photoreal,0.3057,0.3203,0.2815,0.2842,0.293,0.3171,0.07916257769054647,0.11270683733999366,0.04154399738305543,0.009990633780830411
147,scores\dreamlike_photoreal,0.2922,0.2996,0.2732,0.2627,0.2837,0.282,0.06502395619438746,0.12316421895861145,0.0290896646132786,0.058744993324432594
148,scores\dreamlike_photoreal,0.2993,0.3032,0.2817,0.2815,0.294,0.3042,0.05880387570998999,0.07156992084432734,0.017707985299031163,-0.0032981530343007943
149,scores\dreamlike_photoreal,0.3037,0.3137,0.2834,0.2925,0.2937,0.3076,0.06684227856437286,0.06758049091488683,0.032927230819888076,0.019445329933057046
150,scores\dreamlike_photoreal,0.3022,0.3135,0.281,0.299,0.2908,0.3154,0.07015221707478489,0.04625199362041471,0.03772336201191271,-0.006060606060606101
151,scores\dreamlike_photoreal,0.311,0.335,0.2903,0.3162,0.2983,0.346,0.06655948553054661,0.05611940298507474,0.0408360128617363,-0.03283582089552225
152,scores\dreamlike_photoreal,0.315,0.3545,0.2751,0.3188,0.2852,0.3396,0.12666666666666665,0.10070521861777154,0.09460317460317458,0.04203102961918186
153,scores\dreamlike_photoreal,0.309,0.3303,0.2666,0.285,0.279,0.315,0.13721682847896438,0.13714804722979113,0.0970873786407766,0.046321525885558525
154,scores\dreamlike_photoreal,0.3047,0.3354,0.2678,0.2854,0.2815,0.3137,0.12110272399081076,0.14907573047107928,0.07614046603216296,0.06469886702444842
155,scores\dreamlike_photoreal,0.3225,0.3694,0.2825,0.3342,0.2917,0.3538,0.1240310077519381,0.09528965890633462,0.09550387596899222,0.042230644288034656
156,scores\dreamlike_photoreal,0.3215,0.3528,0.2734,0.309,0.2898,0.325,0.14961119751166416,0.12414965986394559,0.09860031104199068,0.07879818594104306
157,scores\dreamlike_photoreal,0.3025,0.3447,0.2715,0.3047,0.2844,0.335,0.10247933884297512,0.11604293588627786,0.05983471074380167,0.028140411952422357
158,scores\dreamlike_photoreal,0.3132,0.362,0.2761,0.3218,0.2869,0.3533,0.11845466155810973,0.11104972375690612,0.08397190293742016,0.02403314917127068
159,scores\dreamlike_photoreal,0.313,0.3608,0.2761,0.329,0.2903,0.342,0.1178913738019169,0.08813747228381373,0.07252396166134184,0.0521064301552106
160,scores\realistic_vision,0.3152,0.365,0.28,0.3154,0.3025,0.3633,0.11167512690355316,0.13589041095890406,0.0402918781725888,0.004657534246575286
161,scores\realistic_vision,0.3076,0.3345,0.2715,0.2732,0.2942,0.324,0.11736020806241862,0.1832585949177878,0.0435630689206761,0.03139013452914801
162,scores\realistic_vision,0.3137,0.3062,0.2734,0.2377,0.2903,0.2842,0.12846668791839339,0.22370999346832143,0.07459356072680898,0.07184846505551933
163,scores\realistic_vision,0.3103,0.3079,0.2673,0.2363,0.2932,0.2969,0.1385755720270707,0.2325430334524196,0.055107960038672264,0.035725885027606395
164,scores\realistic_vision,0.3208,0.323,0.2788,0.2625,0.3018,0.319,0.13092269326683287,0.1873065015479876,0.05922693266832906,0.01238390092879258
165,scores\realistic_vision,0.31,0.301,0.2632,0.224,0.2922,0.2773,0.1509677419354839,0.25581395348837205,0.05741935483870962,0.0787375415282392
166,scores\realistic_vision,0.2966,0.2744,0.2502,0.1898,0.278,0.2524,0.1564396493594066,0.3083090379008746,0.06271072151045162,0.0801749271137025
167,scores\realistic_vision,0.3213,0.327,0.2815,0.2544,0.2976,0.3071,0.12387177093059448,0.2220183486238532,0.07376283846872082,0.06085626911314993
168,scores\realistic_vision,0.28,0.309,0.2488,0.2484,0.2727,0.3079,0.11142857142857154,0.1961165048543689,0.026071428571428672,0.0035598705501617795
